epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.13,1.3717,2.48923,2.28753,0.43669,0.11504,0.20633,0.09419,1.68337,2.95016,3.07916,0.000659176,0.000659176,0.000659176
2,207.181,1.23693,1.46282,2.1905,0.35819,0.4115,0.31485,0.15567,1.79968,2.35473,3.22096,0.00131272,0.00131272,0.00131272
3,304.723,1.22269,1.2515,2.19036,0.47481,0.37168,0.31937,0.16114,1.86172,2.20035,3.42952,0.00195306,0.00195306,0.00195306
4,402.932,1.22806,1.17971,2.21968,0.34782,0.39381,0.28423,0.13858,1.68765,2.56492,3.55194,0.0019406,0.0019406,0.0019406
5,499.573,1.24868,1.17765,2.20482,0.42098,0.41593,0.31414,0.13997,1.86359,2.04152,3.48325,0.0019208,0.0019208,0.0019208
6,594.972,1.16803,1.01512,2.16027,0.26721,0.43805,0.25756,0.10581,1.9554,2.26122,3.28506,0.001901,0.001901,0.001901
7,690.663,1.15054,1.01633,2.14476,0.3615,0.45575,0.35507,0.17172,1.81605,2.04503,3.26552,0.0018812,0.0018812,0.0018812
8,786.916,1.12031,0.98154,2.11419,0.4624,0.50238,0.4185,0.23127,1.66775,1.8452,2.76462,0.0018614,0.0018614,0.0018614
9,887.456,1.12023,0.9437,2.09223,0.43836,0.46622,0.40314,0.21866,1.77119,1.82374,3.08294,0.0018416,0.0018416,0.0018416
10,982.548,1.06736,0.85206,2.03075,0.379,0.49115,0.36197,0.20679,1.65234,1.78887,2.93561,0.0018218,0.0018218,0.0018218
11,1077.31,1.0947,0.86908,2.13771,0.4724,0.49115,0.4439,0.24762,1.65932,1.91524,2.80759,0.001802,0.001802,0.001802
12,1173.08,1.09005,0.86023,2.12868,0.46747,0.43363,0.38351,0.21127,1.77482,1.78927,3.04129,0.0017822,0.0017822,0.0017822
13,1268.89,1.09321,0.86397,2.07532,0.40974,0.48673,0.40408,0.22096,1.67316,1.76028,3.02321,0.0017624,0.0017624,0.0017624
14,1364.48,1.05648,0.84335,2.05905,0.54065,0.4469,0.44201,0.24632,1.76204,1.85716,3.07164,0.0017426,0.0017426,0.0017426
15,1459.16,1.05358,0.82885,2.01878,0.43485,0.43805,0.39674,0.20708,1.6768,1.78073,3.01653,0.0017228,0.0017228,0.0017228
16,1554.12,1.01951,0.78676,2.00928,0.40692,0.47664,0.35984,0.19851,1.65857,1.79608,3.13064,0.001703,0.001703,0.001703
17,1648.91,1.03936,0.82825,2.05885,0.37659,0.5708,0.40098,0.21836,1.71793,1.83709,3.09144,0.0016832,0.0016832,0.0016832
18,1743.71,1.02653,0.8257,2.04186,0.41273,0.49445,0.3694,0.21545,1.74502,1.73565,3.20785,0.0016634,0.0016634,0.0016634
19,1839.23,1.0075,0.80496,2.02802,0.43474,0.51327,0.40374,0.22548,1.63829,1.70312,2.92792,0.0016436,0.0016436,0.0016436
20,1934.77,0.96277,0.73844,1.97843,0.50293,0.54867,0.47494,0.27095,1.63314,1.71095,2.84241,0.0016238,0.0016238,0.0016238
21,2029.56,0.97084,0.72472,2.00047,0.49851,0.54425,0.45382,0.25653,1.6719,1.62518,3.08557,0.001604,0.001604,0.001604
22,2124.39,0.9843,0.72395,1.97734,0.51852,0.45745,0.47366,0.28619,1.56107,1.5769,2.89425,0.0015842,0.0015842,0.0015842
23,2220.33,0.96917,0.72067,1.94456,0.54127,0.4646,0.4375,0.24393,1.68838,1.76872,2.90655,0.0015644,0.0015644,0.0015644
24,2314.77,0.93171,0.67564,1.91818,0.47909,0.5087,0.4457,0.25911,1.55739,1.56864,2.75332,0.0015446,0.0015446,0.0015446
25,2409.73,0.94915,0.68089,1.94097,0.45436,0.46903,0.38387,0.20351,1.72021,1.83022,2.9729,0.0015248,0.0015248,0.0015248
